 LAUS Code,State FIPS Code,County FIPS Code,County Name/State Abbreviation,State,County,Overdose_mortality
CN1902300000000,19,23,"Butler County, IA",Iowa,Butler,
CN1902500000000,19,25,"Calhoun County, IA",Iowa,Calhoun,
CN1902700000000,19,27,"Carroll County, IA",Iowa,Carroll,
CN1902900000000,19,29,"Cass County, IA",Iowa,Cass,
CN1903100000000,19,31,"Cedar County, IA",Iowa,Cedar,
CN1903300000000,19,33,"Cerro Gordo County, IA",Iowa,Cerro Gordo,17
CN1903500000000,19,35,"Cherokee County, IA",Iowa,Cherokee,
CN1903700000000,19,37,"Chickasaw County, IA",Iowa,Chickasaw,
CN1903900000000,19,39,"Clarke County, IA",Iowa,Clarke,
CN1904100000000,19,41,"Clay County, IA",Iowa,Clay,
CN1904300000000,19,43,"Clayton County, IA",Iowa,Clayton,
CN1904500000000,19,45,"Clinton County, IA",Iowa,Clinton,11
CN1904700000000,19,47,"Crawford County, IA",Iowa,Crawford,
CN1904900000000,19,49,"Dallas County, IA",Iowa,Dallas,4
CN1905100000000,19,51,"Davis County, IA",Iowa,Davis,
CN1905300000000,19,53,"Decatur County, IA",Iowa,Decatur,
CN1905500000000,19,55,"Delaware County, IA",Iowa,Delaware,
CN1905700000000,19,57,"Des Moines County, IA",Iowa,Des Moines,11
CN1905900000000,19,59,"Dickinson County, IA",Iowa,Dickinson,
CN1906100000000,19,61,"Dubuque County, IA",Iowa,Dubuque,8
CN1906300000000,19,63,"Emmet County, IA",Iowa,Emmet,
CN1906500000000,19,65,"Fayette County, IA",Iowa,Fayette,
CN1906700000000,19,67,"Floyd County, IA",Iowa,Floyd,
CN1906900000000,19,69,"Franklin County, IA",Iowa,Franklin,
CN1907100000000,19,71,"Fremont County, IA",Iowa,Fremont,
CN1907300000000,19,73,"Greene County, IA",Iowa,Greene,
CN1907500000000,19,75,"Grundy County, IA",Iowa,Grundy,
CN1907700000000,19,77,"Guthrie County, IA",Iowa,Guthrie,
CN1907900000000,19,79,"Hamilton County, IA",Iowa,Hamilton,
CN1908100000000,19,81,"Hancock County, IA",Iowa,Hancock,
CN1908300000000,19,83,"Hardin County, IA",Iowa,Hardin,
CN1908500000000,19,85,"Harrison County, IA",Iowa,Harrison,
CN1908700000000,19,87,"Henry County, IA",Iowa,Henry,
CN1908900000000,19,89,"Howard County, IA",Iowa,Howard,
CN1909100000000,19,91,"Humboldt County, IA",Iowa,Humboldt,
CN1909300000000,19,93,"Ida County, IA",Iowa,Ida,
CN1909500000000,19,95,"Iowa County, IA",Iowa,Iowa,
CN1909700000000,19,97,"Jackson County, IA",Iowa,Jackson,
CN1909900000000,19,99,"Jasper County, IA",Iowa,Jasper,13
CN1910100000000,19,101,"Jefferson County, IA",Iowa,Jefferson,
CN1910300000000,19,103,"Johnson County, IA",Iowa,Johnson,8
CN1910500000000,19,105,"Jones County, IA",Iowa,Jones,
CN1910700000000,19,107,"Keokuk County, IA",Iowa,Keokuk,
CN1910900000000,19,109,"Kossuth County, IA",Iowa,Kossuth,
CN1911100000000,19,111,"Lee County, IA",Iowa,Lee,12
CN1911300000000,19,113,"Linn County, IA",Iowa,Linn,13
CN1911500000000,19,115,"Louisa County, IA",Iowa,Louisa,
CN1911700000000,19,117,"Lucas County, IA",Iowa,Lucas,
CN1911900000000,19,119,"Lyon County, IA",Iowa,Lyon,
CN1912100000000,19,121,"Madison County, IA",Iowa,Madison,
CN1912300000000,19,123,"Mahaska County, IA",Iowa,Mahaska,
CN1912500000000,19,125,"Marion County, IA",Iowa,Marion,
CN1912700000000,19,127,"Marshall County, IA",Iowa,Marshall,
CN1912900000000,19,129,"Mills County, IA",Iowa,Mills,
CN1913100000000,19,131,"Mitchell County, IA",Iowa,Mitchell,
CN1913300000000,19,133,"Monona County, IA",Iowa,Monona,
CN1913500000000,19,135,"Monroe County, IA",Iowa,Monroe,
CN1913700000000,19,137,"Montgomery County, IA",Iowa,Montgomery,
CN1913900000000,19,139,"Muscatine County, IA",Iowa,Muscatine,
CN1914100000000,19,141,"O'Brien County, IA",Iowa,O'Brien,
CN1914300000000,19,143,"Osceola County, IA",Iowa,Osceola,
CN1914500000000,19,145,"Page County, IA",Iowa,Page,
CN1914700000000,19,147,"Palo Alto County, IA",Iowa,Palo Alto,
CN1914900000000,19,149,"Plymouth County, IA",Iowa,Plymouth,
CN1915100000000,19,151,"Pocahontas County, IA",Iowa,Pocahontas,
CN1915300000000,19,153,"Polk County, IA",Iowa,Polk,13
CN1915500000000,19,155,"Pottawattamie County, IA",Iowa,Pottawattamie,12
CN1915700000000,19,157,"Poweshiek County, IA",Iowa,Poweshiek,
CN1915900000000,19,159,"Ringgold County, IA",Iowa,Ringgold,
CN1916100000000,19,161,"Sac County, IA",Iowa,Sac,
CN1916300000000,19,163,"Scott County, IA",Iowa,Scott,18
CN1916500000000,19,165,"Shelby County, IA",Iowa,Shelby,
CN1916700000000,19,167,"Sioux County, IA",Iowa,Sioux,
CN1916900000000,19,169,"Story County, IA",Iowa,Story,8
CN1917100000000,19,171,"Tama County, IA",Iowa,Tama,
CN1917300000000,19,173,"Taylor County, IA",Iowa,Taylor,
CN1917500000000,19,175,"Union County, IA",Iowa,Union,
CN1917700000000,19,177,"Van Buren County, IA",Iowa,Van Buren,
CN1917900000000,19,179,"Wapello County, IA",Iowa,Wapello,
CN1918100000000,19,181,"Warren County, IA",Iowa,Warren,
CN1918300000000,19,183,"Washington County, IA",Iowa,Washington,
CN1918500000000,19,185,"Wayne County, IA",Iowa,Wayne,
CN1918700000000,19,187,"Webster County, IA",Iowa,Webster,
CN1918900000000,19,189,"Winnebago County, IA",Iowa,Winnebago,
CN1919100000000,19,191,"Winneshiek County, IA",Iowa,Winneshiek,
CN1919300000000,19,193,"Woodbury County, IA",Iowa,Woodbury,11
CN1919500000000,19,195,"Worth County, IA",Iowa,Worth,
CN1919700000000,19,197,"Wright County, IA",Iowa,Wright,
CN2000100000000,20,1,"Allen County, KS",Kansas,Allen,
CN2000300000000,20,3,"Anderson County, KS",Kansas,Anderson,
CN2000500000000,20,5,"Atchison County, KS",Kansas,Atchison,
CN2000700000000,20,7,"Barber County, KS",Kansas,Barber,
CN2000900000000,20,9,"Barton County, KS",Kansas,Barton,
CN2001100000000,20,11,"Bourbon County, KS",Kansas,Bourbon,
CN2001300000000,20,13,"Brown County, KS",Kansas,Brown,
CN2001500000000,20,15,"Butler County, KS",Kansas,Butler,17
CN2001700000000,20,17,"Chase County, KS",Kansas,Chase,
CN2001900000000,20,19,"Chautauqua County, KS",Kansas,Chautauqua,
CN2002100000000,20,21,"Cherokee County, KS",Kansas,Cherokee,21
CN2002300000000,20,23,"Cheyenne County, KS",Kansas,Cheyenne,
CN2002500000000,20,25,"Clark County, KS",Kansas,Clark,
CN2002700000000,20,27,"Clay County, KS",Kansas,Clay,
CN2002900000000,20,29,"Cloud County, KS",Kansas,Cloud,
CN2003100000000,20,31,"Coffey County, KS",Kansas,Coffey,
CN2003300000000,20,33,"Comanche County, KS",Kansas,Comanche,
CN2003500000000,20,35,"Cowley County, KS",Kansas,Cowley,14
CN2003700000000,20,37,"Crawford County, KS",Kansas,Crawford,8
CN2003900000000,20,39,"Decatur County, KS",Kansas,Decatur,
CN2004100000000,20,41,"Dickinson County, KS",Kansas,Dickinson,
CN2004300000000,20,43,"Doniphan County, KS",Kansas,Doniphan,
CN2004500000000,20,45,"Douglas County, KS",Kansas,Douglas,11
CN2004700000000,20,47,"Edwards County, KS",Kansas,Edwards,
CN2004900000000,20,49,"Elk County, KS",Kansas,Elk,
CN2005100000000,20,51,"Ellis County, KS",Kansas,Ellis,
CN2005300000000,20,53,"Ellsworth County, KS",Kansas,Ellsworth,
CN2005500000000,20,55,"Finney County, KS",Kansas,Finney,10
CN2005700000000,20,57,"Ford County, KS",Kansas,Ford,
CN2005900000000,20,59,"Franklin County, KS",Kansas,Franklin,
CN2006100000000,20,61,"Geary County, KS",Kansas,Geary,
CN2006300000000,20,63,"Gove County, KS",Kansas,Gove,
CN2006500000000,20,65,"Graham County, KS",Kansas,Graham,
CN2006700000000,20,67,"Grant County, KS",Kansas,Grant,
CN2006900000000,20,69,"Gray County, KS",Kansas,Gray,
CN2007100000000,20,71,"Greeley County, KS",Kansas,Greeley,
CN2007300000000,20,73,"Greenwood County, KS",Kansas,Greenwood,
CN2007500000000,20,75,"Hamilton County, KS",Kansas,Hamilton,
CN2007700000000,20,77,"Harper County, KS",Kansas,Harper,
CN2007900000000,20,79,"Harvey County, KS",Kansas,Harvey,13
CN2008100000000,20,81,"Haskell County, KS",Kansas,Haskell,
CN2008300000000,20,83,"Hodgeman County, KS",Kansas,Hodgeman,
CN2008500000000,20,85,"Jackson County, KS",Kansas,Jackson,
CN2008700000000,20,87,"Jefferson County, KS",Kansas,Jefferson,
CN2008900000000,20,89,"Jewell County, KS",Kansas,Jewell,
CN2009100000000,20,91,"Johnson County, KS",Kansas,Johnson,9
CN2009300000000,20,93,"Kearny County, KS",Kansas,Kearny,
CN2009500000000,20,95,"Kingman County, KS",Kansas,Kingman,
CN2009700000000,20,97,"Kiowa County, KS",Kansas,Kiowa,
CN2009900000000,20,99,"Labette County, KS",Kansas,Labette,
CN2010100000000,20,101,"Lane County, KS",Kansas,Lane,
CN2010300000000,20,103,"Leavenworth County, KS",Kansas,Leavenworth,15
CN2010500000000,20,105,"Lincoln County, KS",Kansas,Lincoln,
CN2010700000000,20,107,"Linn County, KS",Kansas,Linn,
CN2010900000000,20,109,"Logan County, KS",Kansas,Logan,
CN2011100000000,20,111,"Lyon County, KS",Kansas,Lyon,
CN2011300000000,20,113,"McPherson County, KS",Kansas,McPherson,14
CN2011500000000,20,115,"Marion County, KS",Kansas,Marion,
CN2011700000000,20,117,"Marshall County, KS",Kansas,Marshall,
CN2011900000000,20,119,"Meade County, KS",Kansas,Meade,
CN2012100000000,20,121,"Miami County, KS",Kansas,Miami,14
CN2012300000000,20,123,"Mitchell County, KS",Kansas,Mitchell,
CN2012500000000,20,125,"Montgomery County, KS",Kansas,Montgomery,19
CN2012700000000,20,127,"Morris County, KS",Kansas,Morris,
CN2012900000000,20,129,"Morton County, KS",Kansas,Morton,
CN2013100000000,20,131,"Nemaha County, KS",Kansas,Nemaha,
CN2013300000000,20,133,"Neosho County, KS",Kansas,Neosho,22
CN2013500000000,20,135,"Ness County, KS",Kansas,Ness,
CN2013700000000,20,137,"Norton County, KS",Kansas,Norton,
CN2013900000000,20,139,"Osage County, KS",Kansas,Osage,
CN2014100000000,20,141,"Osborne County, KS",Kansas,Osborne,
CN2014300000000,20,143,"Ottawa County, KS",Kansas,Ottawa,
CN2014500000000,20,145,"Pawnee County, KS",Kansas,Pawnee,
CN2014700000000,20,147,"Phillips County, KS",Kansas,Phillips,
CN2014900000000,20,149,"Pottawatomie County, KS",Kansas,Pottawatomie,
CN2015100000000,20,151,"Pratt County, KS",Kansas,Pratt,
CN2015300000000,20,153,"Rawlins County, KS",Kansas,Rawlins,
CN2015500000000,20,155,"Reno County, KS",Kansas,Reno,19
CN2015700000000,20,157,"Republic County, KS",Kansas,Republic,
CN2015900000000,20,159,"Rice County, KS",Kansas,Rice,
CN2016100000000,20,161,"Riley County, KS",Kansas,Riley,6
CN2016300000000,20,163,"Rooks County, KS",Kansas,Rooks,
CN2016500000000,20,165,"Rush County, KS",Kansas,Rush,
CN2016700000000,20,167,"Russell County, KS",Kansas,Russell,
CN2016900000000,20,169,"Saline County, KS",Kansas,Saline,16
CN2017100000000,20,171,"Scott County, KS",Kansas,Scott,
CN2017300000000,20,173,"Sedgwick County, KS",Kansas,Sedgwick,15
CN2017500000000,20,175,"Seward County, KS",Kansas,Seward,
CN2017700000000,20,177,"Shawnee County, KS",Kansas,Shawnee,12
CN2017900000000,20,179,"Sheridan County, KS",Kansas,Sheridan,
CN2018100000000,20,181,"Sherman County, KS",Kansas,Sherman,
CN2018300000000,20,183,"Smith County, KS",Kansas,Smith,
CN2018500000000,20,185,"Stafford County, KS",Kansas,Stafford,
CN2018700000000,20,187,"Stanton County, KS",Kansas,Stanton,
CN2018900000000,20,189,"Stevens County, KS",Kansas,Stevens,
CN2019100000000,20,191,"Sumner County, KS",Kansas,Sumner,17
CN2019300000000,20,193,"Thomas County, KS",Kansas,Thomas,
CN2019500000000,20,195,"Trego County, KS",Kansas,Trego,
CN2019700000000,20,197,"Wabaunsee County, KS",Kansas,Wabaunsee,
CN2019900000000,20,199,"Wallace County, KS",Kansas,Wallace,
CN2020100000000,20,201,"Washington County, KS",Kansas,Washington,
CN2020300000000,20,203,"Wichita County, KS",Kansas,Wichita,
CN2020500000000,20,205,"Wilson County, KS",Kansas,Wilson,
CN2020700000000,20,207,"Woodson County, KS",Kansas,Woodson,
CN2020900000000,20,209,"Wyandotte County, KS",Kansas,Wyandotte,8
CN2100100000000,21,1,"Adair County, KY",Kentucky,Adair,23
CN2100300000000,21,3,"Allen County, KY",Kentucky,Allen,18
CN2100500000000,21,5,"Anderson County, KY",Kentucky,Anderson,21
CN2100700000000,21,7,"Ballard County, KY",Kentucky,Ballard,
CN2100900000000,21,9,"Barren County, KY",Kentucky,Barren,15
CN2101100000000,21,11,"Bath County, KY",Kentucky,Bath,30
CN2101300000000,21,13,"Bell County, KY",Kentucky,Bell,72
CN2101500000000,21,15,"Boone County, KY",Kentucky,Boone,34
CN2101700000000,21,17,"Bourbon County, KY",Kentucky,Bourbon,27
CN2101900000000,21,19,"Boyd County, KY",Kentucky,Boyd,29
CN2102100000000,21,21,"Boyle County, KY",Kentucky,Boyle,19
CN2102300000000,21,23,"Bracken County, KY",Kentucky,Bracken,
CN2102500000000,21,25,"Breathitt County, KY",Kentucky,Breathitt,35
CN2102700000000,21,27,"Breckinridge County, KY",Kentucky,Breckinridge,
CN2102900000000,21,29,"Bullitt County, KY",Kentucky,Bullitt,22
CN2103100000000,21,31,"Butler County, KY",Kentucky,Butler,31
CN2103300000000,21,33,"Caldwell County, KY",Kentucky,Caldwell,
CN2103500000000,21,35,"Calloway County, KY",Kentucky,Calloway,10
CN2103700000000,21,37,"Campbell County, KY",Kentucky,Campbell,44
CN2103900000000,21,39,"Carlisle County, KY",Kentucky,Carlisle,
CN2104100000000,21,41,"Carroll County, KY",Kentucky,Carroll,43
CN2104300000000,21,43,"Carter County, KY",Kentucky,Carter,25
CN2104500000000,21,45,"Casey County, KY",Kentucky,Casey,23
CN2104700000000,21,47,"Christian County, KY",Kentucky,Christian,6
CN2104900000000,21,49,"Clark County, KY",Kentucky,Clark,30
CN2105100000000,21,51,"Clay County, KY",Kentucky,Clay,24
CN2105300000000,21,53,"Clinton County, KY",Kentucky,Clinton,59
CN2105500000000,21,55,"Crittenden County, KY",Kentucky,Crittenden,
CN2105700000000,21,57,"Cumberland County, KY",Kentucky,Cumberland,
CN2105900000000,21,59,"Daviess County, KY",Kentucky,Daviess,16
CN2106100000000,21,61,"Edmonson County, KY",Kentucky,Edmonson,28
CN2106300000000,21,63,"Elliott County, KY",Kentucky,Elliott,
CN2106500000000,21,65,"Estill County, KY",Kentucky,Estill,39
CN2106700000000,21,67,"Fayette County, KY",Kentucky,Fayette,27
CN2106900000000,21,69,"Fleming County, KY",Kentucky,Fleming,32
CN2107100000000,21,71,"Floyd County, KY",Kentucky,Floyd,50
CN2107300000000,21,73,"Franklin County, KY",Kentucky,Franklin,25
CN2107500000000,21,75,"Fulton County, KY",Kentucky,Fulton,
CN2107700000000,21,77,"Gallatin County, KY",Kentucky,Gallatin,51
CN2107900000000,21,79,"Garrard County, KY",Kentucky,Garrard,20
CN2108100000000,21,81,"Grant County, KY",Kentucky,Grant,39
CN2108300000000,21,83,"Graves County, KY",Kentucky,Graves,12
CN2108500000000,21,85,"Grayson County, KY",Kentucky,Grayson,27
CN2108700000000,21,87,"Green County, KY",Kentucky,Green,
CN2108900000000,21,89,"Greenup County, KY",Kentucky,Greenup,31
CN2109100000000,21,91,"Hancock County, KY",Kentucky,Hancock,
CN2109300000000,21,93,"Hardin County, KY",Kentucky,Hardin,12
CN2109500000000,21,95,"Harlan County, KY",Kentucky,Harlan,36
CN2109700000000,21,97,"Harrison County, KY",Kentucky,Harrison,38
CN2109900000000,21,99,"Hart County, KY",Kentucky,Hart,
CN2110100000000,21,101,"Henderson County, KY",Kentucky,Henderson,11
CN2110300000000,21,103,"Henry County, KY",Kentucky,Henry,24
CN2110500000000,21,105,"Hickman County, KY",Kentucky,Hickman,
CN2110700000000,21,107,"Hopkins County, KY",Kentucky,Hopkins,22
CN2110900000000,21,109,"Jackson County, KY",Kentucky,Jackson,
CN2111100000000,21,111,"Jefferson County, KY",Kentucky,Jefferson,26
CN2111300000000,21,113,"Jessamine County, KY",Kentucky,Jessamine,18
CN2111500000000,21,115,"Johnson County, KY",Kentucky,Johnson,30
CN2111700000000,21,117,"Kenton County, KY",Kentucky,Kenton,52
CN2111900000000,21,119,"Knott County, KY",Kentucky,Knott,44
CN2112100000000,21,121,"Knox County, KY",Kentucky,Knox,34
CN2112300000000,21,123,"Larue County, KY",Kentucky,Larue,
CN2112500000000,21,125,"Laurel County, KY",Kentucky,Laurel,21
CN2112700000000,21,127,"Lawrence County, KY",Kentucky,Lawrence,21
CN2112900000000,21,129,"Lee County, KY",Kentucky,Lee,51
CN2113100000000,21,131,"Leslie County, KY",Kentucky,Leslie,58
CN2113300000000,21,133,"Letcher County, KY",Kentucky,Letcher,31
CN2113500000000,21,135,"Lewis County, KY",Kentucky,Lewis,
CN2113700000000,21,137,"Lincoln County, KY",Kentucky,Lincoln,14
CN2113900000000,21,139,"Livingston County, KY",Kentucky,Livingston,
CN2114100000000,21,141,"Logan County, KY",Kentucky,Logan,15
CN2114300000000,21,143,"Lyon County, KY",Kentucky,Lyon,
CN2114500000000,21,145,"McCracken County, KY",Kentucky,McCracken,23
CN2114700000000,21,147,"McCreary County, KY",Kentucky,McCreary,
CN2114900000000,21,149,"McLean County, KY",Kentucky,McLean,
CN2115100000000,21,151,"Madison County, KY",Kentucky,Madison,25
CN2115300000000,21,153,"Magoffin County, KY",Kentucky,Magoffin,
CN2115500000000,21,155,"Marion County, KY",Kentucky,Marion,17
CN2115700000000,21,157,"Marshall County, KY",Kentucky,Marshall,30
CN2115900000000,21,159,"Martin County, KY",Kentucky,Martin,45
CN2116100000000,21,161,"Mason County, KY",Kentucky,Mason,23
CN2116300000000,21,163,"Meade County, KY",Kentucky,Meade,15
CN2116500000000,21,165,"Menifee County, KY",Kentucky,Menifee,
CN2116700000000,21,167,"Mercer County, KY",Kentucky,Mercer,17
CN2116900000000,21,169,"Metcalfe County, KY",Kentucky,Metcalfe,
CN2117100000000,21,171,"Monroe County, KY",Kentucky,Monroe,
CN2117300000000,21,173,"Montgomery County, KY",Kentucky,Montgomery,29
CN2117500000000,21,175,"Morgan County, KY",Kentucky,Morgan,
CN2117700000000,21,177,"Muhlenberg County, KY",Kentucky,Muhlenberg,20
CN2117900000000,21,179,"Nelson County, KY",Kentucky,Nelson,13
CN2118100000000,21,181,"Nicholas County, KY",Kentucky,Nicholas,
CN2118300000000,21,183,"Ohio County, KY",Kentucky,Ohio,26
CN2118500000000,21,185,"Oldham County, KY",Kentucky,Oldham,13
CN2118700000000,21,187,"Owen County, KY",Kentucky,Owen,34
CN2118900000000,21,189,"Owsley County, KY",Kentucky,Owsley,
CN2119100000000,21,191,"Pendleton County, KY",Kentucky,Pendleton,37
CN2119300000000,21,193,"Perry County, KY",Kentucky,Perry,40
CN2119500000000,21,195,"Pike County, KY",Kentucky,Pike,38
CN2119700000000,21,197,"Powell County, KY",Kentucky,Powell,59
CN2119900000000,21,199,"Pulaski County, KY",Kentucky,Pulaski,16
CN2120100000000,21,201,"Robertson County, KY",Kentucky,Robertson,
CN2120300000000,21,203,"Rockcastle County, KY",Kentucky,Rockcastle,22
CN2120500000000,21,205,"Rowan County, KY",Kentucky,Rowan,18
CN2120700000000,21,207,"Russell County, KY",Kentucky,Russell,53
CN2120900000000,21,209,"Scott County, KY",Kentucky,Scott,18
CN2121100000000,21,211,"Shelby County, KY",Kentucky,Shelby,19
CN2121300000000,21,213,"Simpson County, KY",Kentucky,Simpson,19
CN2121500000000,21,215,"Spencer County, KY",Kentucky,Spencer,
CN2121700000000,21,217,"Taylor County, KY",Kentucky,Taylor,19
CN2121900000000,21,219,"Todd County, KY",Kentucky,Todd,
CN2122100000000,21,221,"Trigg County, KY",Kentucky,Trigg,
CN2122300000000,21,223,"Trimble County, KY",Kentucky,Trimble,
CN2122500000000,21,225,"Union County, KY",Kentucky,Union,38
CN2122700000000,21,227,"Warren County, KY",Kentucky,Warren,13
CN2122900000000,21,229,"Washington County, KY",Kentucky,Washington,
CN2123100000000,21,231,"Wayne County, KY",Kentucky,Wayne,21
CN2123300000000,21,233,"Webster County, KY",Kentucky,Webster,
CN2123500000000,21,235,"Whitley County, KY",Kentucky,Whitley,44
CN2123700000000,21,237,"Wolfe County, KY",Kentucky,Wolfe,51
CN2123900000000,21,239,"Woodford County, KY",Kentucky,Woodford,25
CN2200100000000,22,1,"Acadia Parish, LA",Louisiana,Acadia,13
CN2200300000000,22,3,"Allen Parish, LA",Louisiana,Allen,
CN2200500000000,22,5,"Ascension Parish, LA",Louisiana,Ascension,16
CN2200700000000,22,7,"Assumption Parish, LA",Louisiana,Assumption,14
CN2200900000000,22,9,"Avoyelles Parish, LA",Louisiana,Avoyelles,19
CN2201100000000,22,11,"Beauregard Parish, LA",Louisiana,Beauregard,
CN2201300000000,22,13,"Bienville Parish, LA",Louisiana,Bienville,
CN2201500000000,22,15,"Bossier Parish, LA",Louisiana,Bossier,9
CN2201700000000,22,17,"Caddo Parish, LA",Louisiana,Caddo,10
CN2201900000000,22,19,"Calcasieu Parish, LA",Louisiana,Calcasieu,14
CN2202100000000,22,21,"Caldwell Parish, LA",Louisiana,Caldwell,
CN2202300000000,22,23,"Cameron Parish, LA",Louisiana,Cameron,
CN2202500000000,22,25,"Catahoula Parish, LA",Louisiana,Catahoula,
CN2202700000000,22,27,"Claiborne Parish, LA",Louisiana,Claiborne,
CN2202900000000,22,29,"Concordia Parish, LA",Louisiana,Concordia,
CN2203100000000,22,31,"De Soto Parish, LA",Louisiana,De Soto,
CN2203300000000,22,33,"East Baton Rouge Parish, LA",Louisiana,East Baton Rouge,14
CN2203500000000,22,35,"East Carroll Parish, LA",Louisiana,East Carroll,
CN2203700000000,22,37,"East Feliciana Parish, LA",Louisiana,East Feliciana,
CN2203900000000,22,39,"Evangeline Parish, LA",Louisiana,Evangeline,14
CN2204100000000,22,41,"Franklin Parish, LA",Louisiana,Franklin,
CN2204300000000,22,43,"Grant Parish, LA",Louisiana,Grant,
CN2204500000000,22,45,"Iberia Parish, LA",Louisiana,Iberia,19
CN2204700000000,22,47,"Iberville Parish, LA",Louisiana,Iberville,12
CN2204900000000,22,49,"Jackson Parish, LA",Louisiana,Jackson,23
CN2205100000000,22,51,"Jefferson Parish, LA",Louisiana,Jefferson,28
CN2205300000000,22,53,"Jefferson Davis Parish, LA",Louisiana,Jefferson Davis,13
CN2205500000000,22,55,"Lafayette Parish, LA",Louisiana,Lafayette,13
CN2205700000000,22,57,"Lafourche Parish, LA",Louisiana,Lafourche,19
CN2205900000000,22,59,"LaSalle Parish, LA",Louisiana,La Salle,29
CN2206100000000,22,61,"Lincoln Parish, LA",Louisiana,Lincoln,
CN2206300000000,22,63,"Livingston Parish, LA",Louisiana,Livingston,30
CN2206500000000,22,65,"Madison Parish, LA",Louisiana,Madison,
CN2206700000000,22,67,"Morehouse Parish, LA",Louisiana,Morehouse,15
CN2206900000000,22,69,"Natchitoches Parish, LA",Louisiana,Natchitoches,
CN2207100000000,22,71,"Orleans Parish, LA",Louisiana,Orleans,28
CN2207300000000,22,73,"Ouachita Parish, LA",Louisiana,Ouachita,12
CN2207500000000,22,75,"Plaquemines Parish, LA",Louisiana,Plaquemines,28
CN2207700000000,22,77,"Pointe Coupee Parish, LA",Louisiana,Pointe Coupee,
CN2207900000000,22,79,"Rapides Parish, LA",Louisiana,Rapides,13
CN2208100000000,22,81,"Red River Parish, LA",Louisiana,Red River,
CN2208300000000,22,83,"Richland Parish, LA",Louisiana,Richland,
CN2208500000000,22,85,"Sabine Parish, LA",Louisiana,Sabine,
CN2208700000000,22,87,"St. Bernard Parish, LA",Louisiana,St. Bernard,31
CN2208900000000,22,89,"St. Charles Parish, LA",Louisiana,St. Charles,21
CN2209100000000,22,91,"St. Helena Parish, LA",Louisiana,St. Helena,
CN2209300000000,22,93,"St. James Parish, LA",Louisiana,St. James,
CN2209500000000,22,95,"St. John the Baptist Parish, LA",Louisiana,St. John the Baptist,13
CN2209700000000,22,97,"St. Landry Parish, LA",Louisiana,St. Landry,12
CN2209900000000,22,99,"St. Martin Parish, LA",Louisiana,St. Martin,9
CN2210100000000,22,101,"St. Mary Parish, LA",Louisiana,St. Mary,14
CN2210300000000,22,103,"St. Tammany Parish, LA",Louisiana,St. Tammany,28
CN2210500000000,22,105,"Tangipahoa Parish, LA",Louisiana,Tangipahoa,19
CN2210700000000,22,107,"Tensas Parish, LA",Louisiana,Tensas,
CN2210900000000,22,109,"Terrebonne Parish, LA",Louisiana,Terrebonne,24
CN2211100000000,22,111,"Union Parish, LA",Louisiana,Union,
CN2211300000000,22,113,"Vermilion Parish, LA",Louisiana,Vermilion,11
CN2211500000000,22,115,"Vernon Parish, LA",Louisiana,Vernon,8
CN2211700000000,22,117,"Washington Parish, LA",Louisiana,Washington,32
CN2211900000000,22,119,"Webster Parish, LA",Louisiana,Webster,17
CN2212100000000,22,121,"West Baton Rouge Parish, LA",Louisiana,West Baton Rouge,17
CN2212300000000,22,123,"West Carroll Parish, LA",Louisiana,West Carroll,
CN2212500000000,22,125,"West Feliciana Parish, LA",Louisiana,West Feliciana,
CN2212700000000,22,127,"Winn Parish, LA",Louisiana,Winn,
CN2300100000000,23,1,"Androscoggin County, ME",Maine,Androscoggin,19
CN2300300000000,23,3,"Aroostook County, ME",Maine,Aroostook,9
CN2300500000000,23,5,"Cumberland County, ME",Maine,Cumberland,19
CN2300700000000,23,7,"Franklin County, ME",Maine,Franklin,
CN2300900000000,23,9,"Hancock County, ME",Maine,Hancock,16
CN2301100000000,23,11,"Kennebec County, ME",Maine,Kennebec,20
CN2301300000000,23,13,"Knox County, ME",Maine,Knox,17
CN2301500000000,23,15,"Lincoln County, ME",Maine,Lincoln,16
CN2301700000000,23,17,"Oxford County, ME",Maine,Oxford,10
CN2301900000000,23,19,"Penobscot County, ME",Maine,Penobscot,15
CN2302100000000,23,21,"Piscataquis County, ME",Maine,Piscataquis,
CN2302300000000,23,23,"Sagadahoc County, ME",Maine,Sagadahoc,10
CN2302500000000,23,25,"Somerset County, ME",Maine,Somerset,15
CN2302700000000,23,27,"Waldo County, ME",Maine,Waldo,15
CN2302900000000,23,29,"Washington County, ME",Maine,Washington,21
CN2303100000000,23,31,"York County, ME",Maine,York,19
CN2400100000000,24,1,"Allegany County, MD",Maryland,Allegany,20
CN2400300000000,24,3,"Anne Arundel County, MD",Maryland,Anne Arundel,21
CN2400500000000,24,5,"Baltimore County, MD",Maryland,Baltimore,23
CN2400900000000,24,9,"Calvert County, MD",Maryland,Calvert,23
CN2401100000000,24,11,"Caroline County, MD",Maryland,Caroline,26
CN2401300000000,24,13,"Carroll County, MD",Maryland,Carroll,23
CN2401500000000,24,15,"Cecil County, MD",Maryland,Cecil,31
CN2401700000000,24,17,"Charles County, MD",Maryland,Charles,13
CN2401900000000,24,19,"Dorchester County, MD",Maryland,Dorchester,10
CN2402100000000,24,21,"Frederick County, MD",Maryland,Frederick,16
CN2402300000000,24,23,"Garrett County, MD",Maryland,Garrett,12
CN2402500000000,24,25,"Harford County, MD",Maryland,Harford,20
